Interpret,Titel,Album,L‰nge,Jahr,Genre,Bewertung,Bitrate,Pfad,Medium
"Il'yana","12 nochi (DJ Slon Remix)","Vse Zvezdy 2011","3:27",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\196_Il'yana - 12 nochi (DJ Slon Remix).mp3",""
"Pilot","156-Oj","XXXLVes2011","3:47",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\52 Pilot - 156-Oj.mp3",""
"Alien feat. Ruma","2 Worlds (Radio Edit)","Vse Zvezdy 2011","3:18",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\197_Alien feat. Ruma - 2 Worlds (Radio Edit).mp3",""
"Demo","2000 let (DJ Kekss SyQuest remix 2011)","Piratskaj stancij","6:04",2011,"Pop",50,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\087 Demo - 2000 let (DJ Kekss SyQuest remix 2011).mp3",""
"Stars On 45","45 (2011 Version)","Piratskaj stancij","2:45",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Piratskaj stancij\080 Stars On 45 - 45 (2011 Version).mp3",""
"Fabrika","A Lyubit' Tak Khochetsya","XXXLVes2011","3:47",2011,"Pop",50,256,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\91 Fabrika - A Lyubit' Tak Khochetsya.mp3",""
"Rudenko Artur","A lyubov. osennyaya","Slezy lyubvi","4:12",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\Slezy_lubvi\19. Rudenko Artur - A lyubov. osennyaya.mp3",""
"Tomcraft","A Place Called Soul (Short Edit)","Vse Zvezdy 2011","2:44",2011,"Pop",20,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\140_Tomcraft - A Place Called Soul (Short Edit).mp3",""
"Mama Eva","A ya lyublyu","VzrHitParOtRusRad","3:11",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\075. Mama Eva - A ya lyublyu.mp3",""
"Shakira","Addicted to You","DiskKurort","2:26",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\158. Shakira - Addicted to You.mp3",""
"Dmitrij Bikbaev i 4post","Adrenalin","Vse Zvezdy 2011","3:37",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\067_Dmitrij Bikbaev i 4post - Adrenalin.mp3",""
"Dmitrij Bikbaev i 4Post","Adrenalin","VzrHitParOtRusRad","3:37",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\189. Dmitrij Bikbaev i 4Post - Adrenalin.mp3",""
"Dmitrij Bikbaev i Post","Adrenalin","HitNastSummer","3:37",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\42.  Dmitrij Bikbaev i Post - Adrenalin .mp3",""
"Elena Vaenga","Aeroport","DiskKurort","3:13",2011,"Pop",70,128,"K:\studio\musik\2011\_lat\_pop\DiskKurort\083. Elena Vaenga - Aeroport.mp3",""
"Marsel'","Aeta pesnya dlya tebya","Vse Zvezdy 2011","3:35",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\Vse_Zvezdi\019_Marsel' - Aeta pesnya dlya tebya.mp3",""
"Marsel'","Aeta pesnya dlya tebya","VzrHitParOtRusRad","3:35",2011,"Pop",60,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\099. Marsel' - Aeta pesnya dlya tebya.mp3",""
"Marsel'","Aeta Pesnya Dlya Tebya","XXXLVes2011","3:36",2011,"Pop",60,320,"K:\studio\musik\2011\_lat\_pop\XXXLVes2011\05 Marsel' - Aeta Pesnya Dlya Tebya.mp3",""
"Marsel'","Aeta pesnya dlya tebya (Vlad Zhukov Remix)","HitNastSummer","4:05",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\HitNastSummer\51.  Marsel' - Aeta pesnya dlya tebya (Vlad Zhukov Remix) .mp3",""
"Marsel'","Aeta pesnya dlya tebya (Vlad Zhukov remix)","MuzDlyaMol4","4:03",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\50 Marsel' - Aeta pesnya dlya tebya (Vlad Zhukov remix).mp3",""
"Marsel'","Aeta pesnya dlya tebya (Vlad Zhukov remix)","SamSHikNaPer","4:03",2011,"Pop",60,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\50 Marsel' - Aeta pesnya dlya tebya (Vlad Zhukov remix).mp3",""
"Marta","Aeto lyubov' byla","MuzDlyaMol4","4:41",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\45 Marta - Aeto lyubov' byla.mp3",""
"Marta","Aeto lyubov' byla","SamSHikNaPer","4:41",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\45 Marta - Aeto lyubov' byla.mp3",""
"Korni","Aeto ne spam","MuzDlyaMol4","4:48",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\MuzDlyaMol4\87 Korni - Aeto ne spam.mp3",""
"Korni","Aeto ne spam","SamSHikNaPer","4:48",2011,"Pop",30,256,"K:\studio\musik\2011\_lat\_pop\SamSHikNaPer\97 Korni - Aeto ne spam.mp3",""
"Korni","Aeto ne spam","VzrHitParOtRusRad","3:42",2011,"Pop",30,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\192. Korni - Aeto ne spam.mp3",""
"T9","Aeto Vesna","LetoNaMuzTV","3:40",2011,"Pop",40,256,"K:\studio\musik\2011\_lat\_pop\LetoNaMuzTV\71 T9 - Aeto Vesna.mp3",""
"T9","Aeto Vesna","VzrHitParOtRusRad","3:41",2011,"Pop",40,128,"K:\studio\musik\2011\_lat\_pop\VzrHitParOtRusRad\011. T9 - Aeto Vesna.mp3",""
